Date/Time,Status
Feb 16 2021 - 8:10 AM EST,Target - Console Digital Edition Out of Stock
Feb 16 2021 - 8:07 AM EST,Target - Console Digital Edition In Stock for $?
Feb 16 2021 - 3:36 AM EST,Amazon - Console Out of Stock
Feb 16 2021 - 3:15 AM EST,Amazon - Console In Stock for $499.99
Feb 12 2021 - 5:22 PM EST,Playstation Direct - Console Out of Stock
Feb 12 2021 - 5:04 PM EST,Playstation Direct - Console In Stock for $499.99
Feb 12 2021 - 5:02 PM EST,Playstation Direct - Console Out of Stock
Feb 12 2021 - 4:59 PM EST,Playstation Direct - Console In Stock for $499.99
Feb 11 2021 - 4:53 PM EST,Playstation Direct - Console Digital Edition Out of Stock
Feb 11 2021 - 4:52 PM EST,Playstation Direct - Console Out of Stock
Feb 11 2021 - 4:32 PM EST,Playstation Direct - Console Digital Edition In Stock for $399.99
Feb 11 2021 - 4:29 PM EST,Playstation Direct - Console In Stock for $499.99
Feb 10 2021 - 3:39 PM EST,Playstation Direct - Console Out of Stock
Feb 10 2021 - 3:17 PM EST,Playstation Direct - Console In Stock for $499.99
Feb 04 2021 - 3:22 PM EST,Walmart - Console Out of Stock
Feb 04 2021 - 3:21 PM EST,Walmart - Console Preorder for $499.00
Feb 04 2021 - 3:11 PM EST,Walmart - Console Out of Stock
Feb 04 2021 - 3:11 PM EST,Walmart - Console Digital Edition Out of Stock
Feb 04 2021 - 3:11 PM EST,Walmart - Console Preorder for $499.00
Feb 04 2021 - 3:10 PM EST,Walmart - Console Digital Edition Preorder for $399.00
Feb 04 2021 - 3:03 PM EST,Walmart - Console Digital Edition Out of Stock
Feb 04 2021 - 3:00 PM EST,Walmart - Console Digital Edition Preorder for $399.00
Feb 02 2021 - 7:46 AM EST,Target - Console Out of Stock
Feb 02 2021 - 7:43 AM EST,Target - Console In Stock for $?
Jan 27 2021 - 4:03 PM EST,Playstation Direct - Console Digital Edition Out of Stock
Jan 27 2021 - 3:31 PM EST,Playstation Direct - Console Digital Edition In Stock for $399.99
Jan 26 2021 - 4:59 PM EST,Playstation Direct - Console Out of Stock
Jan 26 2021 - 4:48 PM EST,Playstation Direct - Console In Stock for $499.99
Jan 26 2021 - 4:46 PM EST,Playstation Direct - Console Out of Stock
Jan 26 2021 - 4:31 PM EST,Playstation Direct - Console In Stock for $499.99
Jan 22 2021 - 4:15 PM EST,Best Buy - Console Out of Stock
